date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason,gap_atr,mode
2025-10-13,-1,2025-10-13 09:40:00-04:00,2025-10-13 15:55:00-04:00,6669.75,6694.75,-25.0,60.339285714285325,-0.41432376442734803,-126.7,time,1.242971293282036,fill
2025-10-14,1,2025-10-14 09:40:00-04:00,2025-10-14 12:20:00-04:00,6615.0,6694.75,79.75,64.71428571428532,1.232339955849897,397.05,target,-0.9387417218543047,fill
2025-11-04,1,2025-11-04 09:40:00-05:00,2025-11-04 15:55:00-05:00,6801.75,6803.25,1.5,72.64285714285688,0.02064896755162249,5.8,time,-1.032448377581121,fill
2025-11-10,-1,2025-11-10 09:40:00-05:00,2025-11-10 15:55:00-05:00,6831.0,6857.5,-26.5,69.66071428571468,-0.3804152781338097,-134.2,time,0.8936170212765957,fill
2025-11-14,1,2025-11-14 09:40:00-05:00,2025-11-14 10:45:00-05:00,6698.0,6762.25,64.25,76.55357142857156,0.8392815488686713,319.55,target,-0.9143923489619781,fill
2025-11-20,-1,2025-11-20 09:40:00-05:00,2025-11-20 11:50:00-05:00,6772.0,6661.5,110.5,87.80357142857156,1.2584909497661156,550.8,target,1.1759202765914174,fill
2025-12-15,-1,2025-12-15 09:40:00-05:00,2025-12-15 15:55:00-05:00,6908.75,6879.25,29.5,70.26785714285688,0.41982210927573216,145.8,time,1.423125794155019,fill
2025-12-18,-1,2025-12-18 09:40:00-05:00,2025-12-18 15:55:00-05:00,6833.5,6828.75,4.75,62.714285714285325,0.07574031890660639,22.05,time,1.0085421412300684,fill
2026-01-15,-1,2026-01-15 09:40:00-05:00,2026-01-15 15:55:00-05:00,7003.0,6985.25,17.75,50.589285714285325,0.3508648076244291,87.05,time,0.8104482880338864,fill
2026-01-20,1,2026-01-20 09:40:00-05:00,2026-01-20 14:30:00-05:00,6882.25,6830.553571428572,-51.69642857142844,51.44642857142844,-1.0048594238111768,-260.1821428571422,stop,-2.0360985768830266,fill
2026-02-27,1,2026-02-27 09:40:00-05:00,2026-02-27 15:55:00-05:00,6866.0,6888.0,22.0,86.89285714285688,0.2531853678586115,108.3,time,-0.7566789971228935,fill
2026-03-02,1,2026-03-02 09:40:00-05:00,2026-03-02 11:40:00-05:00,6834.5,6888.5,54.0,82.07142857142844,0.6579634464751969,268.3,target,-0.9412532637075718,fill
