date,side,entry_time,exit_time,entry,exit,pts,r_mult,pre_holiday,pnl,reason
2016-11-23,1,2016-11-23,2016-11-23,36.225,36.53,0.3049999999999997,15.249999999999986,True,28.49999999999997,pre_holiday_only
2016-12-23,1,2016-12-23,2016-12-23,38.16,38.165,0.005000000000002558,0.2500000000001279,True,-1.4999999999997442,pre_holiday_only
2016-12-30,1,2016-12-30,2016-12-30,37.745,37.65,-0.09499999999999886,-4.749999999999943,True,-11.499999999999886,pre_holiday_only
2017-01-13,1,2017-01-13,2017-01-13,37.26,37.18,-0.0799999999999983,-3.9999999999999147,True,-9.99999999999983,pre_holiday_only
2017-02-17,1,2017-02-17,2017-02-17,36.01,35.975,-0.03499999999999659,-1.7499999999998295,True,-5.499999999999659,pre_holiday_only
2017-04-13,1,2017-04-13,2017-04-13,35.28,34.645,-0.634999999999998,-31.7499999999999,True,-65.4999999999998,pre_holiday_only
2017-05-26,1,2017-05-26,2017-05-26,33.26,33.295,0.035000000000003695,1.7500000000001847,True,1.5000000000003695,pre_holiday_only
2017-07-03,1,2017-07-03,2017-07-03,32.585,33.075,0.490000000000002,24.5000000000001,True,47.0000000000002,pre_holiday_only
2017-09-01,1,2017-09-01,2017-09-01,31.545,31.779999999999998,0.23499999999999588,11.749999999999794,True,21.499999999999588,pre_holiday_only
2017-11-22,1,2017-11-22,2017-11-22,33.934999999999995,33.835,-0.09999999999999432,-4.999999999999716,True,-11.999999999999432,pre_holiday_only
2017-12-22,1,2017-12-22,2017-12-22,35.97,35.975,0.005000000000002558,0.2500000000001279,True,-1.4999999999997442,pre_holiday_only
2017-12-29,1,2017-12-29,2017-12-29,36.339999999999996,36.120000000000005,-0.21999999999999176,-10.999999999999588,True,-23.999999999999176,pre_holiday_only
2018-01-12,1,2018-01-12,2018-01-12,38.36,38.7,0.3400000000000034,17.00000000000017,True,32.00000000000034,pre_holiday_only
2018-02-16,1,2018-02-16,2018-02-16,34.01,34.050000000000004,0.04000000000000625,2.0000000000003126,True,2.0000000000006253,pre_holiday_only
2018-03-29,1,2018-03-29,2018-03-29,33.199999999999996,33.695,0.49500000000000455,24.750000000000227,True,47.500000000000455,pre_holiday_only
2018-05-25,1,2018-05-25,2018-05-25,37.62,37.28,-0.3399999999999963,-16.999999999999815,True,-35.99999999999963,pre_holiday_only
2018-07-03,1,2018-07-03,2018-07-03,37.809999999999995,37.635000000000005,-0.17499999999999005,-8.749999999999503,True,-19.499999999999005,pre_holiday_only
2018-08-31,1,2018-08-31,2018-08-31,37.405,37.21,-0.19500000000000028,-9.750000000000014,True,-21.50000000000003,pre_holiday_only
2018-11-21,1,2018-11-21,2018-11-21,32.745,32.980000000000004,0.23500000000000654,11.750000000000327,True,21.500000000000654,pre_holiday_only
2018-12-04,1,2018-12-04,2018-12-04,33.815,32.81,-1.0049999999999955,-50.24999999999977,True,-102.49999999999955,pre_holiday_only
2018-12-24,1,2018-12-24,2018-12-24,27.735000000000003,26.91,-0.8250000000000028,-41.25000000000014,True,-84.50000000000028,pre_holiday_only
2018-12-31,1,2018-12-31,2018-12-31,28.790000000000003,28.665,-0.12500000000000355,-6.250000000000178,True,-14.500000000000355,pre_holiday_only
2019-01-18,1,2019-01-18,2019-01-18,31.66,31.91,0.25,12.5,True,23.0,pre_holiday_only
2019-02-15,1,2019-02-15,2019-02-15,32.885,33.050000000000004,0.16500000000000625,8.250000000000313,True,14.500000000000625,pre_holiday_only
2019-04-18,1,2019-04-18,2019-04-18,33.845,33.585,-0.259999999999998,-12.9999999999999,True,-27.9999999999998,pre_holiday_only
2019-05-24,1,2019-05-24,2019-05-24,30.950000000000003,30.799999999999997,-0.15000000000000568,-7.500000000000284,True,-17.00000000000057,pre_holiday_only
2019-07-03,1,2019-07-03,2019-07-03,31.465,31.49,0.02499999999999858,1.249999999999929,True,0.4999999999998579,pre_holiday_only
2019-08-30,1,2019-08-30,2019-08-30,28.860000000000003,28.729999999999997,-0.1300000000000061,-6.5000000000003055,True,-15.000000000000611,pre_holiday_only
2019-11-27,1,2019-11-27,2019-11-27,29.715,29.735,0.019999999999999574,0.9999999999999787,True,-4.263256414560601e-14,pre_holiday_only
2019-12-24,1,2019-12-24,2019-12-24,31.075000000000003,30.97,-0.10500000000000398,-5.250000000000199,True,-12.500000000000398,pre_holiday_only
2019-12-31,1,2019-12-31,2019-12-31,29.71,30.009999999999998,0.29999999999999716,14.999999999999858,True,27.999999999999716,pre_holiday_only
2020-01-17,1,2020-01-17,2020-01-17,29.835,29.549999999999997,-0.2850000000000037,-14.250000000000185,True,-30.50000000000037,pre_holiday_only
2020-02-14,1,2020-02-14,2020-02-14,27.540000000000003,27.279999999999998,-0.2600000000000051,-13.000000000000256,True,-28.00000000000051,pre_holiday_only
2020-04-09,1,2020-04-09,2020-04-09,17.775000000000002,16.944999999999997,-0.8300000000000054,-41.50000000000027,True,-85.00000000000054,pre_holiday_only
2020-05-22,1,2020-05-22,2020-05-22,19.21,19.229999999999997,0.01999999999999602,0.999999999999801,True,-3.979039320256561e-13,pre_holiday_only
2020-07-02,1,2020-07-02,2020-07-02,18.855,18.66,-0.19500000000000028,-9.750000000000014,True,-21.50000000000003,pre_holiday_only
2020-09-04,1,2020-09-04,2020-09-04,17.680000000000003,17.424999999999997,-0.2550000000000061,-12.750000000000306,True,-27.50000000000061,pre_holiday_only
2020-11-25,1,2020-11-25,2020-11-25,20.01,19.674999999999997,-0.3350000000000044,-16.75000000000022,True,-35.50000000000044,pre_holiday_only
2020-12-24,1,2020-12-24,2020-12-24,19.235000000000003,19.049999999999997,-0.18500000000000583,-9.250000000000291,True,-20.500000000000583,pre_holiday_only
2020-12-31,1,2020-12-31,2020-12-31,19.040000000000003,18.939999999999998,-0.10000000000000497,-5.000000000000249,True,-12.000000000000497,pre_holiday_only
2021-01-15,1,2021-01-15,2021-01-15,21.84,21.365,-0.4750000000000014,-23.75000000000007,True,-49.50000000000014,pre_holiday_only
2021-02-12,1,2021-02-12,2021-02-12,21.860000000000003,22.325,0.4649999999999963,23.249999999999815,True,44.49999999999963,pre_holiday_only
2021-04-01,1,2021-04-01,2021-04-01,24.650000000000002,25.145,0.49499999999999744,24.749999999999872,True,47.499999999999744,pre_holiday_only
2021-05-28,1,2021-05-28,2021-05-28,26.220000000000002,26.095,-0.12500000000000355,-6.250000000000178,True,-14.500000000000355,pre_holiday_only
2021-07-02,1,2021-07-02,2021-07-02,27.310000000000002,27.334999999999997,0.024999999999995026,1.2499999999997513,True,0.4999999999995026,pre_holiday_only
2021-09-03,1,2021-09-03,2021-09-03,24.405,24.299999999999997,-0.10500000000000398,-5.250000000000199,True,-12.500000000000398,pre_holiday_only
2021-11-24,1,2021-11-24,2021-11-24,28.5,28.944999999999997,0.44499999999999673,22.249999999999837,True,42.49999999999967,pre_holiday_only
2021-12-23,1,2021-12-23,2021-12-23,27.565,27.439999999999998,-0.12500000000000355,-6.250000000000178,True,-14.500000000000355,pre_holiday_only
2022-01-14,1,2022-01-14,2022-01-14,31.555000000000003,32.245000000000005,0.6900000000000013,34.500000000000064,True,67.00000000000013,pre_holiday_only
2022-02-18,1,2022-02-18,2022-02-18,33.76,34.015,0.25500000000000256,12.750000000000128,True,23.500000000000256,pre_holiday_only
2022-04-14,1,2022-04-14,2022-04-14,39.614999999999995,39.915,0.30000000000000426,15.000000000000213,True,28.000000000000426,pre_holiday_only
2022-05-27,1,2022-05-27,2022-05-27,43.285,44.255,0.970000000000006,48.5000000000003,True,95.0000000000006,pre_holiday_only
2022-06-17,1,2022-06-17,2022-06-17,38.61,36.735,-1.875,-93.75,True,-189.5,pre_holiday_only
2022-07-01,1,2022-07-01,2022-07-01,36.199999999999996,36.28,0.0800000000000054,4.00000000000027,True,6.00000000000054,pre_holiday_only
2022-09-02,1,2022-09-02,2022-09-02,40.239999999999995,39.97,-0.269999999999996,-13.499999999999801,True,-28.999999999999602,pre_holiday_only
2022-11-23,1,2022-11-23,2022-11-23,45.79,46.095,0.3049999999999997,15.249999999999986,True,28.49999999999997,pre_holiday_only
2022-12-23,1,2022-12-23,2022-12-23,42.69,43.52,0.8300000000000054,41.50000000000027,True,81.00000000000054,pre_holiday_only
2022-12-30,1,2022-12-30,2022-12-30,43.239999999999995,43.725,0.48500000000000654,24.250000000000327,True,46.500000000000654,pre_holiday_only
2023-01-13,1,2023-01-13,2023-01-13,44.885,44.965,0.0800000000000054,4.00000000000027,True,6.00000000000054,pre_holiday_only
2023-02-17,1,2023-02-17,2023-02-17,43.135,42.235,-0.8999999999999986,-44.99999999999993,True,-91.99999999999986,pre_holiday_only
2023-04-06,1,2023-04-06,2023-04-06,43.089999999999996,42.480000000000004,-0.6099999999999923,-30.499999999999616,True,-62.99999999999923,pre_holiday_only
2023-05-26,1,2023-05-26,2023-05-26,39.79,39.375,-0.41499999999999915,-20.749999999999957,True,-43.499999999999915,pre_holiday_only
2023-06-16,1,2023-06-16,2023-06-16,40.65,40.42,-0.22999999999999687,-11.499999999999844,True,-24.999999999999687,pre_holiday_only
2023-07-03,1,2023-07-03,2023-07-03,40.669999999999995,40.67,7.105427357601002e-15,3.552713678800501e-13,True,-1.9999999999992895,pre_holiday_only
2023-09-01,1,2023-09-01,2023-09-01,44.955,45.36,0.40500000000000114,20.250000000000057,True,38.500000000000114,pre_holiday_only
2023-11-22,1,2023-11-22,2023-11-22,41.475,42.28,0.8049999999999997,40.249999999999986,True,78.49999999999997,pre_holiday_only
2023-12-22,1,2023-12-22,2023-12-22,42.699999999999996,42.480000000000004,-0.21999999999999176,-10.999999999999588,True,-23.999999999999176,pre_holiday_only
2023-12-29,1,2023-12-29,2023-12-29,42.169999999999995,41.910000000000004,-0.2599999999999909,-12.999999999999545,True,-27.99999999999909,pre_holiday_only
2024-01-12,1,2024-01-12,2024-01-12,41.51,41.330000000000005,-0.1799999999999926,-8.99999999999963,True,-19.99999999999926,pre_holiday_only
2024-02-16,1,2024-02-16,2024-02-16,42.955,42.775,-0.17999999999999972,-8.999999999999986,True,-19.99999999999997,pre_holiday_only
2024-03-28,1,2024-03-28,2024-03-28,46.985,47.195,0.21000000000000085,10.500000000000043,True,19.000000000000085,pre_holiday_only
2024-05-24,1,2024-05-24,2024-05-24,45.94,45.675000000000004,-0.26499999999999346,-13.249999999999673,True,-28.499999999999346,pre_holiday_only
2024-06-18,1,2024-06-18,2024-06-18,44.41,44.31,-0.09999999999999432,-4.999999999999716,True,-11.999999999999432,pre_holiday_only
2024-07-03,1,2024-07-03,2024-07-03,45.57,45.755,0.18500000000000227,9.250000000000114,True,16.500000000000227,pre_holiday_only
2024-08-30,1,2024-08-30,2024-08-30,45.03,45.63,0.6000000000000014,30.00000000000007,True,58.00000000000014,pre_holiday_only
2024-11-27,1,2024-11-27,2024-11-27,47.61,47.550000000000004,-0.05999999999999517,-2.9999999999997584,True,-7.999999999999517,pre_holiday_only
2024-12-24,1,2024-12-24,2024-12-24,42.095,42.31,0.2150000000000034,10.75000000000017,True,19.50000000000034,pre_holiday_only
2024-12-31,1,2024-12-31,2024-12-31,42.385,42.82,0.4350000000000023,21.750000000000114,True,41.50000000000023,pre_holiday_only
2025-01-08,1,2025-01-08,2025-01-08,43.71,44.005,0.2950000000000017,14.750000000000085,True,27.50000000000017,pre_holiday_only
2025-01-17,1,2025-01-17,2025-01-17,46.55,46.97,0.4200000000000017,21.000000000000085,True,40.00000000000017,pre_holiday_only
2025-02-14,1,2025-02-14,2025-02-14,45.1,45.025,-0.07500000000000284,-3.750000000000142,True,-9.500000000000284,pre_holiday_only
2025-04-17,1,2025-04-17,2025-04-17,40.184999999999995,40.74,0.5550000000000068,27.75000000000034,True,53.50000000000068,pre_holiday_only
2025-05-23,1,2025-05-23,2025-05-23,40.515,40.985,0.46999999999999886,23.499999999999943,True,44.999999999999886,pre_holiday_only
2025-06-18,1,2025-06-18,2025-06-18,44.5,44.03,-0.46999999999999886,-23.499999999999943,True,-48.999999999999886,pre_holiday_only
2025-07-03,1,2025-07-03,2025-07-03,43.415,43.505,0.09000000000000341,4.5000000000001705,True,7.000000000000341,pre_holiday_only
2025-08-29,1,2025-08-29,2025-08-29,45.0,45.185,0.18500000000000227,9.250000000000114,True,16.500000000000227,pre_holiday_only
2025-11-26,1,2025-11-26,2025-11-26,44.305,44.63,0.32500000000000284,16.250000000000142,True,30.500000000000284,pre_holiday_only
2025-12-24,1,2025-12-24,2025-12-24,44.43,44.36,-0.07000000000000028,-3.500000000000014,True,-9.000000000000028,pre_holiday_only
2025-12-31,1,2025-12-31,2025-12-31,44.94,44.7,-0.23999999999999488,-11.999999999999744,True,-25.99999999999949,pre_holiday_only
2026-01-16,1,2026-01-16,2026-01-16,47.6,47.68,0.0799999999999983,3.9999999999999147,True,5.9999999999998295,pre_holiday_only
2026-02-13,1,2026-02-13,2026-02-13,53.949999999999996,54.34,0.3900000000000077,19.500000000000384,True,37.00000000000077,pre_holiday_only
2026-04-02,1,2026-04-02,2026-04-02,60.46,59.24,-1.2199999999999989,-60.99999999999994,True,-123.99999999999989,pre_holiday_only
2026-05-22,1,2026-05-22,2026-05-22,59.01,59.480000000000004,0.47000000000000597,23.5000000000003,True,45.0000000000006,pre_holiday_only
2026-06-18,1,2026-06-18,2026-06-18,54.169999999999995,53.760000000000005,-0.4099999999999895,-20.499999999999474,True,-42.99999999999895,pre_holiday_only
2026-07-02,1,2026-07-02,2026-07-02,53.25,53.21,-0.03999999999999915,-1.9999999999999574,True,-5.999999999999915,pre_holiday_only
2026-09-04,1,2026-09-04,2026-09-04,64.07000000000001,64.05,-0.020000000000010232,-1.0000000000005116,True,-4.000000000001023,pre_holiday_only
