date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason,entry_dev
2025-09-08,-1,2025-09-08 10:40:00-04:00,2025-09-08 10:55:00-04:00,6563.0,6568.140478386845,-5.140478386844734,4.890478386844734,-1.051119743351181,-27.40239193422367,stop,2.189712388642492
2025-09-09,1,2025-09-09 10:35:00-04:00,2025-09-09 10:40:00-04:00,6548.25,6544.000154849626,-4.249845150374313,3.9998451503743127,-1.0625024196190707,-22.949225751871563,stop,-2.116341712049956
2025-09-10,1,2025-09-10 11:25:00-04:00,2025-09-10 11:45:00-04:00,6597.75,6604.976346614121,7.226346614121212,10.460789724928873,0.6908031615338054,34.43173307060606,target,-2.020847564627708
2025-09-12,-1,2025-09-12 11:00:00-04:00,2025-09-12 11:10:00-04:00,6653.25,6647.595621821079,5.654378178921434,3.3999081987776663,1.6630973097903918,26.57189089460717,target,2.5526708242855225
2025-09-17,1,2025-09-17 12:40:00-04:00,2025-09-17 13:55:00-04:00,6652.25,6661.039973948274,8.789973948273655,8.284015676791569,1.0610764502654884,42.24986974136827,target,-2.1392979678342408
2025-09-19,1,2025-09-19 10:50:00-04:00,2025-09-19 10:50:00-04:00,6696.75,6702.152303260022,5.402303260021654,7.25289572985821,0.7448477768378542,25.31151630010827,target,-2.0483626526364156
2025-09-23,1,2025-09-23 10:35:00-04:00,2025-09-23 10:55:00-04:00,6746.0,6749.863108755029,3.863108755029316,2.208016481069535,1.7495832971129253,17.61554377514658,target,-2.287118037582501
2025-09-24,1,2025-09-24 11:45:00-04:00,2025-09-24 11:50:00-04:00,6703.75,6694.326053425377,-9.423946574623187,9.173946574623187,-1.027251085229943,-48.81973287311594,stop,-2.0148976249779134
2025-09-25,1,2025-09-25 14:05:00-04:00,2025-09-25 14:25:00-04:00,6625.25,6651.001921013755,25.751921013755236,17.7875387743552,1.4477506607537247,127.05960506877618,target,-2.221181289639717
2025-09-29,1,2025-09-29 11:15:00-04:00,2025-09-29 11:15:00-04:00,6716.5,6712.879239374592,-3.6207606254083657,3.3707606254083657,-1.0741672363547656,-19.803803127041828,stop,-2.1692027731409773
2025-09-30,-1,2025-09-30 12:25:00-04:00,2025-09-30 12:55:00-04:00,6711.5,6706.105170816456,5.394829183544061,9.362721786590555,0.5762030856530016,25.274145917720308,target,2.091589689508526
2025-10-01,-1,2025-10-01 11:45:00-04:00,2025-10-01 14:10:00-04:00,6744.5,6762.881999470492,-18.38199947049179,18.13199947049179,-1.01378777891577,-93.60999735245896,stop,2.0361117816300736
2025-10-02,1,2025-10-02 11:05:00-04:00,2025-10-02 11:55:00-04:00,6745.0,6756.880049486949,11.880049486949247,12.412068628735142,0.9571369481027345,57.70024743474623,target,-2.1292012042728445
2025-10-03,-1,2025-10-03 10:40:00-04:00,2025-10-03 11:40:00-04:00,6792.5,6786.344905251486,6.155094748513875,6.825567157850855,0.9017704472271151,29.075473742569375,target,2.2219481931656846
2025-10-13,-1,2025-10-13 12:20:00-04:00,2025-10-13 14:50:00-04:00,6701.5,6688.4167767193885,13.083223280611492,16.480587788239973,0.793856593509806,63.716116403057455,target,2.18750750366542
2025-10-16,-1,2025-10-16 10:45:00-04:00,2025-10-16 10:50:00-04:00,6747.5,6733.700724225904,13.799275774095804,5.0479071336267225,2.7336627653412413,67.29637887047902,target,2.638618396100778
2025-10-17,-1,2025-10-17 12:10:00-04:00,2025-10-17 12:55:00-04:00,6691.0,6673.019269999052,17.980730000947915,19.668921446657805,0.9141695974388696,88.20365000473957,target,2.0453185054026086
2025-10-20,-1,2025-10-20 10:45:00-04:00,2025-10-20 13:15:00-04:00,6769.0,6780.440984097385,-11.440984097384899,11.190984097384899,-1.0223394116035265,-58.904920486924496,stop,2.18542690413207
2025-10-22,1,2025-10-22 13:25:00-04:00,2025-10-22 15:05:00-04:00,6709.25,6729.858922265861,20.60892226586111,31.182770938338763,0.6609073422824892,101.34461132930555,target,-2.0197840308879336
2025-10-29,1,2025-10-29 10:50:00-04:00,2025-10-29 11:20:00-04:00,6936.0,6941.573386907934,5.573386907934037,4.580583700882016,1.2167416364121566,26.166934539670184,target,-2.215347724567953
2025-10-30,1,2025-10-30 15:05:00-04:00,2025-10-30 15:20:00-04:00,6874.0,6856.79587514974,-17.204124850260087,16.954124850260087,-1.0147456741181284,-87.72062425130044,stop,-2.0105769003232674
2025-10-31,1,2025-10-31 12:00:00-04:00,2025-10-31 12:10:00-04:00,6873.75,6862.827891484296,-10.922108515704167,10.672108515704167,-1.0234255489093014,-56.31054257852084,stop,-2.040091501310408
2025-11-12,1,2025-11-12 11:15:00-05:00,2025-11-12 11:30:00-05:00,6857.75,6871.563814988322,13.81381498832161,16.29846811675361,0.8475529656754697,67.36907494160805,target,-2.0633746877628867
2025-11-13,1,2025-11-13 10:50:00-05:00,2025-11-13 11:40:00-05:00,6803.5,6786.760216211231,-16.739783788769273,16.489783788769273,-1.0151609022411967,-85.39891894384637,stop,-2.182593751876716
2025-11-14,-1,2025-11-14 10:50:00-05:00,2025-11-14 13:40:00-05:00,6761.0,6755.512771406407,5.48722859359259,36.33777252090749,0.1510061903336378,25.73614296796295,target,2.032007838793779
2025-11-18,-1,2025-11-18 13:00:00-05:00,2025-11-18 15:25:00-05:00,6672.75,6650.671664398004,22.078335601995605,37.70390644250165,0.5855715676481694,108.69167800997802,target,2.0031800196544234
2025-11-24,-1,2025-11-24 10:45:00-05:00,2025-11-24 12:35:00-05:00,6699.0,6718.984759731876,-19.984759731875783,19.734759731875783,-1.0126680032286484,-101.62379865937892,stop,2.021647966760087
2025-11-25,-1,2025-11-25 12:00:00-05:00,2025-11-25 15:05:00-05:00,6747.25,6777.420474742649,-30.170474742649276,29.920474742649276,-1.0083554823962617,-152.55237371324637,stop,2.051010766359025
2025-12-02,1,2025-12-02 11:25:00-05:00,2025-12-02 12:15:00-05:00,6825.75,6840.933414961372,15.183414961372364,8.063599419147977,1.8829574948028218,74.21707480686182,target,-2.20414234826448
