date,side,entry_time,exit_time,entry,exit,pts,r_mult,tom,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,19.23,19.29,0.05999999999999872,2.999999999999936,True,3.999999999999872,tom_only
2016-09-29,1,2016-09-28,2016-09-29,19.32,19.29,-0.030000000000001137,-1.5000000000000568,True,-5.000000000000114,tom_only
2016-10-03,1,2016-09-30,2016-10-03,19.310000000000002,19.229999999999997,-0.0800000000000054,-4.00000000000027,True,-10.00000000000054,tom_only
2016-10-04,1,2016-10-03,2016-10-04,19.220000000000002,19.25,0.029999999999997584,1.4999999999998792,True,0.9999999999997584,tom_only
2016-10-05,1,2016-10-04,2016-10-05,19.3,19.36,0.05999999999999872,2.999999999999936,True,3.999999999999872,tom_only
2016-11-01,1,2016-10-31,2016-11-01,19.75,19.799999999999997,0.04999999999999716,2.499999999999858,True,2.999999999999716,tom_only
2016-11-02,1,2016-11-01,2016-11-02,19.67,19.61,-0.060000000000002274,-3.0000000000001137,True,-8.000000000000227,tom_only
2016-11-03,1,2016-11-02,2016-11-03,19.540000000000003,19.54,-3.552713678800501e-15,-1.7763568394002505e-13,True,-2.0000000000003553,tom_only
2016-12-01,1,2016-11-30,2016-12-01,22.520000000000003,22.619999999999997,0.09999999999999432,4.999999999999716,True,7.999999999999432,tom_only
2016-12-02,1,2016-12-01,2016-12-02,22.91,22.83,-0.08000000000000185,-4.000000000000092,True,-10.000000000000185,tom_only
2016-12-05,1,2016-12-02,2016-12-05,22.66,22.84,0.17999999999999972,8.999999999999986,True,15.999999999999972,tom_only
2017-01-03,1,2016-12-30,2017-01-03,23.26,23.599999999999998,0.3399999999999963,16.999999999999815,True,31.99999999999963,tom_only
2017-01-04,1,2017-01-03,2017-01-04,23.520000000000003,23.569999999999997,0.049999999999993605,2.4999999999996803,True,2.9999999999993605,tom_only
2017-01-05,1,2017-01-04,2017-01-05,23.71,23.619999999999997,-0.09000000000000341,-4.5000000000001705,True,-11.000000000000341,tom_only
2017-02-01,1,2017-01-31,2017-02-01,23.32,23.479999999999997,0.1599999999999966,7.9999999999998295,True,13.999999999999659,tom_only
2017-02-02,1,2017-02-01,2017-02-02,23.35,23.2,-0.15000000000000213,-7.500000000000107,True,-17.000000000000213,tom_only
2017-02-03,1,2017-02-02,2017-02-03,23.26,23.639999999999997,0.37999999999999545,18.999999999999773,True,35.999999999999545,tom_only
2017-03-01,1,2017-02-28,2017-03-01,24.55,25.0,0.4499999999999993,22.499999999999964,True,42.99999999999993,tom_only
2017-03-02,1,2017-03-01,2017-03-02,25.25,25.279999999999998,0.029999999999997584,1.4999999999998792,True,0.9999999999997584,tom_only
2017-03-03,1,2017-03-02,2017-03-03,24.860000000000003,24.86,-3.552713678800501e-15,-1.7763568394002505e-13,True,-2.0000000000003553,tom_only
2017-04-03,1,2017-03-31,2017-04-03,23.740000000000002,23.759999999999998,0.01999999999999602,0.999999999999801,True,-3.979039320256561e-13,tom_only
2017-04-04,1,2017-04-03,2017-04-04,23.69,23.569999999999997,-0.12000000000000455,-6.000000000000227,True,-14.000000000000455,tom_only
2017-04-05,1,2017-04-04,2017-04-05,23.66,23.86,0.1999999999999993,9.999999999999964,True,17.99999999999993,tom_only
2017-05-01,1,2017-04-28,2017-05-01,23.540000000000003,23.639999999999997,0.09999999999999432,4.999999999999716,True,7.999999999999432,tom_only
2017-05-02,1,2017-05-01,2017-05-02,23.69,23.669999999999998,-0.020000000000003126,-1.0000000000001563,True,-4.000000000000313,tom_only
2017-05-03,1,2017-05-02,2017-05-03,23.66,23.56,-0.10000000000000142,-5.000000000000071,True,-12.000000000000142,tom_only
2017-06-01,1,2017-05-31,2017-06-01,23.26,23.369999999999997,0.10999999999999588,5.499999999999794,True,8.999999999999588,tom_only
2017-06-02,1,2017-06-01,2017-06-02,23.55,23.36,-0.19000000000000128,-9.500000000000064,True,-21.000000000000128,tom_only
2017-06-05,1,2017-06-02,2017-06-05,23.46,23.45,-0.010000000000001563,-0.5000000000000782,True,-3.0000000000001563,tom_only
2017-07-03,1,2017-06-30,2017-07-03,24.680000000000003,24.799999999999997,0.11999999999999389,5.9999999999996945,True,9.999999999999389,tom_only
