date,side,entry_time,exit_time,entry,exit,pts,r_mult,tom,pnl,reason
2016-09-28,1,2016-09-27,2016-09-28,53.12,53.21,0.09000000000000341,4.5000000000001705,True,7.000000000000341,tom_only
2016-09-29,1,2016-09-28,2016-09-29,53.21,53.160000000000004,-0.04999999999999716,-2.499999999999858,True,-6.999999999999716,tom_only
2016-10-03,1,2016-09-30,2016-10-03,53.22,53.11,-0.10999999999999943,-5.499999999999972,True,-12.999999999999943,tom_only
2016-10-04,1,2016-10-03,2016-10-04,52.879999999999995,52.82,-0.05999999999999517,-2.9999999999997584,True,-7.999999999999517,tom_only
2016-10-05,1,2016-10-04,2016-10-05,52.43,52.5,0.07000000000000028,3.500000000000014,True,5.000000000000028,tom_only
2016-11-01,1,2016-10-31,2016-11-01,52.809999999999995,52.79,-0.01999999999999602,-0.999999999999801,True,-3.999999999999602,tom_only
2016-11-02,1,2016-11-01,2016-11-02,52.58,52.43,-0.14999999999999858,-7.499999999999929,True,-16.999999999999858,tom_only
2016-11-03,1,2016-11-02,2016-11-03,52.449999999999996,52.59,0.14000000000000767,7.000000000000384,True,12.000000000000767,tom_only
2016-12-01,1,2016-11-30,2016-12-01,50.589999999999996,50.38,-0.20999999999999375,-10.499999999999687,True,-22.999999999999375,tom_only
2016-12-02,1,2016-12-01,2016-12-02,50.26,50.370000000000005,0.11000000000000654,5.500000000000327,True,9.000000000000654,tom_only
2016-12-05,1,2016-12-02,2016-12-05,50.58,50.57,-0.00999999999999801,-0.4999999999999005,True,-2.999999999999801,tom_only
2017-01-03,1,2016-12-30,2017-01-03,51.72,51.74,0.020000000000003126,1.0000000000001563,True,3.126388037344441e-13,tom_only
2017-01-04,1,2017-01-03,2017-01-04,51.91,51.96,0.05000000000000426,2.500000000000213,True,3.0000000000004263,tom_only
2017-01-05,1,2017-01-04,2017-01-05,51.91,51.88,-0.02999999999999403,-1.4999999999997016,True,-4.999999999999403,tom_only
2017-02-01,1,2017-01-31,2017-02-01,52.6,52.330000000000005,-0.269999999999996,-13.499999999999801,True,-28.999999999999602,tom_only
2017-02-02,1,2017-02-01,2017-02-02,52.19,52.410000000000004,0.22000000000000597,11.000000000000298,True,20.000000000000597,tom_only
2017-02-03,1,2017-02-02,2017-02-03,52.669999999999995,52.92,0.2500000000000071,12.500000000000355,True,23.00000000000071,tom_only
2017-03-01,1,2017-02-28,2017-03-01,55.11,55.120000000000005,0.010000000000005116,0.5000000000002558,True,-0.9999999999994884,tom_only
2017-03-02,1,2017-03-01,2017-03-02,55.37,55.29,-0.0799999999999983,-3.9999999999999147,True,-9.99999999999983,tom_only
2017-03-03,1,2017-03-02,2017-03-03,55.36,55.17,-0.18999999999999773,-9.499999999999886,True,-20.999999999999773,tom_only
2017-04-03,1,2017-03-31,2017-04-03,54.589999999999996,54.65,0.060000000000002274,3.0000000000001137,True,4.000000000000227,tom_only
2017-04-04,1,2017-04-03,2017-04-04,54.5,54.52,0.020000000000003126,1.0000000000001563,True,3.126388037344441e-13,tom_only
2017-04-05,1,2017-04-04,2017-04-05,54.66,54.65,-0.00999999999999801,-0.4999999999999005,True,-2.999999999999801,tom_only
2017-05-01,1,2017-04-28,2017-05-01,55.19,55.25,0.060000000000002274,3.0000000000001137,True,4.000000000000227,tom_only
2017-05-02,1,2017-05-01,2017-05-02,54.98,54.84,-0.13999999999999346,-6.999999999999673,True,-15.999999999999346,tom_only
2017-05-03,1,2017-05-02,2017-05-03,54.61,54.64,0.030000000000001137,1.5000000000000568,True,1.0000000000001137,tom_only
2017-06-01,1,2017-05-31,2017-06-01,56.65,56.7,0.05000000000000426,2.500000000000213,True,3.0000000000004263,tom_only
2017-06-02,1,2017-06-01,2017-06-02,57.11,57.24,0.13000000000000256,6.500000000000128,True,11.000000000000256,tom_only
2017-06-05,1,2017-06-02,2017-06-05,57.28,57.190000000000005,-0.0899999999999963,-4.499999999999815,True,-10.99999999999963,tom_only
2017-07-03,1,2017-06-30,2017-07-03,54.949999999999996,54.97,0.020000000000003126,1.0000000000001563,True,3.126388037344441e-13,tom_only
2017-07-05,1,2017-07-03,2017-07-05,54.9,54.870000000000005,-0.02999999999999403,-1.4999999999997016,True,-4.999999999999403,tom_only
2017-07-06,1,2017-07-05,2017-07-06,54.86,54.65,-0.21000000000000085,-10.500000000000043,True,-23.000000000000085,tom_only
2017-08-01,1,2017-07-31,2017-08-01,55.33,55.370000000000005,0.04000000000000625,2.0000000000003126,True,2.0000000000006253,tom_only
2017-08-02,1,2017-08-01,2017-08-02,55.269999999999996,55.14,-0.12999999999999545,-6.499999999999773,True,-14.999999999999545,tom_only
2017-08-03,1,2017-08-02,2017-08-03,55.23,55.2,-0.02999999999999403,-1.4999999999997016,True,-4.999999999999403,tom_only
2017-09-01,1,2017-08-31,2017-09-01,54.72,54.81,0.09000000000000341,4.5000000000001705,True,7.000000000000341,tom_only
2017-09-05,1,2017-09-01,2017-09-05,54.98,54.800000000000004,-0.1799999999999926,-8.99999999999963,True,-19.99999999999926,tom_only
2017-09-06,1,2017-09-05,2017-09-06,55.059999999999995,55.14,0.0800000000000054,4.00000000000027,True,6.00000000000054,tom_only
2017-10-02,1,2017-09-29,2017-10-02,53.989999999999995,53.97,-0.01999999999999602,-0.999999999999801,True,-3.999999999999602,tom_only
2017-10-03,1,2017-10-02,2017-10-03,53.89,53.96,0.07000000000000028,3.500000000000014,True,5.000000000000028,tom_only
2017-10-04,1,2017-10-03,2017-10-04,53.949999999999996,53.85,-0.09999999999999432,-4.999999999999716,True,-11.999999999999432,tom_only
2017-11-01,1,2017-10-31,2017-11-01,53.1,53.230000000000004,0.13000000000000256,6.500000000000128,True,11.000000000000256,tom_only
2017-11-02,1,2017-11-01,2017-11-02,53.269999999999996,53.190000000000005,-0.07999999999999119,-3.9999999999995595,True,-9.999999999999119,tom_only
2017-11-03,1,2017-11-02,2017-11-03,53.14,53.15,0.00999999999999801,0.4999999999999005,True,-1.000000000000199,tom_only
2017-12-01,1,2017-11-30,2017-12-01,56.059999999999995,55.92,-0.13999999999999346,-6.999999999999673,True,-15.999999999999346,tom_only
2017-12-04,1,2017-12-01,2017-12-04,56.199999999999996,56.24,0.04000000000000625,2.0000000000003126,True,2.0000000000006253,tom_only
2017-12-05,1,2017-12-04,2017-12-05,56.73,56.71,-0.01999999999999602,-0.999999999999801,True,-3.999999999999602,tom_only
2018-01-02,1,2017-12-29,2018-01-02,56.9,56.940000000000005,0.04000000000000625,2.0000000000003126,True,2.0000000000006253,tom_only
2018-01-03,1,2018-01-02,2018-01-03,56.55,56.620000000000005,0.07000000000000739,3.5000000000003695,True,5.000000000000739,tom_only
2018-01-04,1,2018-01-03,2018-01-04,56.53,56.660000000000004,0.13000000000000256,6.500000000000128,True,11.000000000000256,tom_only
2018-02-01,1,2018-01-31,2018-02-01,57.83,57.59,-0.23999999999999488,-11.999999999999744,True,-25.99999999999949,tom_only
2018-02-02,1,2018-02-01,2018-02-02,57.58,57.28,-0.29999999999999716,-14.999999999999858,True,-31.999999999999716,tom_only
